,City,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,albany,au,-35.02,117.88,65.56,69.0,24.0,8.08
1,hobart,au,-42.88,147.33,69.8,43.0,0.0,10.29
2,sulangan,ph,11.14,123.72,83.56,100.0,48.0,9.98
4,east london,za,-33.02,27.91,68.0,60.0,0.0,17.22
5,aklavik,ca,68.22,-135.01,28.4,50.0,20.0,11.41
6,nome,us,30.04,-94.42,63.41,68.0,1.0,5.95
7,thompson,ca,55.74,-97.86,21.2,85.0,90.0,8.05
8,ushuaia,ar,-54.81,-68.31,40.27,89.0,56.0,17.25
9,barrow,us,39.51,-90.4,56.64,93.0,90.0,10.29
10,port lincoln,au,-34.72,135.86,66.82,87.0,8.0,10.54
11,yellowknife,ca,62.45,-114.38,33.8,59.0,75.0,6.93
12,tasiilaq,gl,65.61,-37.64,24.8,79.0,64.0,2.24
13,ilulissat,gl,69.22,-51.1,24.8,79.0,88.0,2.04
14,avarua,ck,-21.21,-159.78,80.6,74.0,75.0,4.7
15,katsuura,jp,33.93,134.5,64.4,93.0,75.0,8.05
16,rikitea,pf,-23.12,-134.97,77.53,100.0,76.0,10.87
17,hasaki,jp,35.73,140.83,66.94,68.0,75.0,10.29
18,vaini,to,-21.2,-175.2,82.4,65.0,20.0,4.7
19,diamantino,br,-14.4,-56.44,71.32,78.0,0.0,2.71
20,busselton,au,-33.64,115.35,65.74,100.0,48.0,4.94
21,miquelon,pm,47.1,-56.38,35.86,93.0,0.0,10.76
22,solnechnyy,ru,50.72,136.64,57.73,53.0,64.0,5.84
23,agulu,ng,6.11,7.07,75.46,93.0,48.0,7.63
24,punta arenas,cl,-53.16,-70.91,42.8,70.0,0.0,9.17
25,kondinskoye,ru,59.65,67.41,40.0,97.0,68.0,2.59
26,hilo,us,19.71,-155.08,67.5,94.0,90.0,4.7
27,batagay-alyta,ru,67.8,130.41,31.72,90.0,92.0,8.41
28,tuatapere,nz,-46.13,167.69,52.78,100.0,24.0,13.44
30,saldanha,za,-33.01,17.94,57.2,87.0,48.0,5.82
31,shingu,jp,33.72,135.99,68.0,82.0,75.0,11.41
32,novaya ladoga,ru,60.11,32.31,25.06,75.0,0.0,5.95
33,lebu,cl,-37.62,-73.65,54.13,98.0,0.0,19.04
34,atar,mr,20.52,-13.05,63.4,27.0,8.0,7.96
35,pacific grove,us,36.62,-121.92,52.68,87.0,75.0,8.05
36,sitka,us,37.17,-99.65,56.83,62.0,0.0,7.4
37,lazaro cardenas,mx,28.39,-105.62,69.8,21.0,5.0,7.63
38,sabha,ly,27.03,14.43,70.15,28.0,0.0,13.78
39,jieshi,cn,22.82,115.83,78.7,80.0,56.0,3.94
40,itarema,br,-2.92,-39.92,75.28,95.0,0.0,7.4
42,arraial do cabo,br,-22.97,-42.02,72.76,96.0,20.0,6.73
44,faanui,pf,-16.48,-151.75,81.04,100.0,32.0,7.63
45,port hedland,au,-20.31,118.58,102.2,17.0,0.0,4.7
